import time: self [us] | cumulative | imported package
import time:       754 |        754 |   _io
import time:       210 |        210 |   marshal
import time:       832 |        832 |   posix
import time:      1869 |       3664 | _frozen_importlib_external
import time:       505 |        505 |   time
import time:       318 |        823 | zipimport
import time:        86 |         86 |     _codecs
import time:       998 |       1084 |   codecs
import time:      1419 |       1419 |   encodings.aliases
import time:      1746 |       4248 | encodings
import time:       306 |        306 | encodings.utf_8
import time:       117 |        117 | _signal
import time:        39 |         39 |     _abc
import time:       264 |        303 |   abc
import time:       298 |        600 | io
import time:        52 |         52 |       _stat
import time:       160 |        212 |     stat
import time:      1070 |       1070 |     _collections_abc
import time:        60 |         60 |       errno
import time:       157 |        157 |       genericpath
import time:       173 |        389 |     posixpath
import time:       617 |       2286 |   os
import time:        87 |         87 |   _sitebuiltins
import time:       474 |        474 |   sitecustomize
import time:      1545 |       4390 | site
import time:       510 |        510 | linecache
import time:       256 |        256 |   api
import time:       494 |        494 |   __future__
import time:       322 |        322 |       itertools
import time:       307 |        307 |       keyword
import time:        76 |         76 |         _operator
import time:      1276 |       1352 |       operator
import time:       578 |        578 |       reprlib
import time:        73 |         73 |       _collections
import time:      1072 |       3702 |     collections
import time:       108 |        108 |       _functools
import time:      1307 |       1415 |     functools
import time:       521 |        521 |     types
import time:       751 |       6387 |   contextlib
import time:       418 |        418 |     starlette
import time:       507 |        507 |       warnings
import time:      1706 |       1706 |           enum
import time:       828 |       2533 |         http
import time:       451 |       2983 |       starlette.exceptions
import time:       959 |       4449 |     starlette.status
import time:       372 |        372 |         copyreg
import time:       391 |        391 |         _typing
import time:      2637 |       3398 |       typing
import time:       605 |        605 |         annotated_doc.main
import time:       465 |       1070 |       annotated_doc
import time:       474 |        474 |             _weakrefset
import time:       532 |       1006 |           weakref
import time:       505 |       1510 |         copy
import time:       301 |        301 |           email
import time:       408 |        408 |           binascii
import time:       125 |        125 |               _sre
import time:       547 |        547 |                 re._constants
import time:       675 |       1221 |               re._parser
import time:       279 |        279 |               re._casefix
import time:       718 |       2341 |             re._compiler
import time:       777 |       3117 |           re
