Cód.Município,Município,Despesas Empenhadas,Despesas Liquidadas,Despesas Pagas
110001,Alta Floresta D'Oeste,3175356338,3175356338,3155000209
110002,Ariquemes,16734598516,16046014258,16045900258
110003,Cabixi,1440786569,1324035549,1252290572
110004,Cacoal,10045422813,9508498341,9461120476
110005,Cerejeiras,3394374391,3049181714,3013894075
110006,Colorado do Oeste,2544946798,2520796140,2448099218
110007,Corumbiara,1767675495,1630286847,1629061467
110008,Costa Marques,1922738499,1854767447,1850708257
110009,Espigão D'Oeste,3775292426,3500662000,3470047827
110010,Guajará-Mirim,5169266180,4924393489,4886465911
110011,Jaru,6462538902,6376410381,6364360599
110012,Ji-Paraná,17318148326,16505022805,15773817191
110013,Machadinho D'Oeste,4336877652,4131884655,4089791250
110014,Nova Brasilândia D'Oeste,2213853857,2213853857,2206389888
110015,Ouro Preto do Oeste,4672050720,4324451136,4303567926
110018,Pimenta Bueno,6128398717,6092968290,6067414191
110020,Porto Velho,51324739611,49633985915,49539336556
110025,Presidente Médici,2966555214,2769275639,2760507374
110026,Rio Crespo,1094175231,958492216,935604689
110028,Rolim de Moura,8519177661,8419858199,8098577664
110029,Santa Luzia D'Oeste,1414823794,1320676860,1309204645
110030,Vilhena,19957424104,18697584044,18624631699
110032,São Miguel do Guaporé,3135408217,3028577336,3004279137
110033,Nova Mamoré,3744115353,3529831807,3465508259
110034,Alvorada D'Oeste,2085819287,1929617708,1889442805
110037,Alto Alegre dos Parecis,2257849423,1889877819,1889877819
110040,Alto Paraíso,2287374467,2169518571,2169518571
110045,Buritis,3039544139,2858694289,2858421689
110050,Novo Horizonte do Oeste,1604032672,1524757524,1511514403
110060,Cacaulândia,992105829,923327144,917666477
110070,Campo Novo de Rondônia,2020679126,1929455768,1928486982
110080,Candeias do Jamari,3157160667,2763181979,2668821167
110090,Castanheiras,1072472683,1033621128,1032336494
110092,Chupinguaia,2341083716,2265826748,2248491582
110094,Cujubim,2779379371,2407754038,2337258187
110100,Governador Jorge Teixeira,1553251873,1509117038,1509117038
110110,Itapuã do Oeste,1415549883,1376360922,1361160204
110120,Ministro Andreazza,1206638732,1004585425,997803282
110130,Mirante da Serra,1432665160,1410026955,1397636436
110140,Monte Negro,2911149349,2674965153,2608444614
110143,Nova União,932727158,871016265,870496155
110145,Parecis,1232676113,1135771133,1127841218
110146,Pimenteiras do Oeste,1282507682,1239554069,1231973214
110147,Primavera de Rondônia,697315208,687455023,672055023
110148,São Felipe D'Oeste,1121324647,1121324647,1121323947
110149,São Francisco do Guaporé,2827148160,2626034058,2602520014
110150,Seringueiras,2093426330,2093426330,2093426330
110155,Teixeirópolis,737711941,715799840,715519840
110160,Theobroma,1392519156,1346002014,1336170975
110170,Urupá,1864113045,1766460919,1749762029
110175,Vale do Anari,1613327529,1608207677,1588944744
110180,Vale do Paraíso,1160371412,1065828706,1065828706
120001,Acrelândia,1797188569,1676759484,1614192075
120005,Assis Brasil,912340727,899275077,890517605
120010,Brasiléia,2840545736,2707490097,2664716253
120013,Bujari,1170157240,936254793,841271290
120017,Capixaba,1382595535,1323888535,1290489282
120020,Cruzeiro do Sul,9572337314,9400694712,9397150830
120025,Epitaciolândia,2425032738,2361361629,2361092768
120030,Feijó,2391798810,2380168817,2379893753
120032,Jordão,831218191,801627362,788231425
