health_region_code,band,person_years,deaths
11001,0,52847,0
11001,1,54873,0
11001,2,55354,2
11001,3,57304,9
11001,4,58631,8
11001,5,56189,7
11001,6,54554,4
11001,7,55825,7
11001,8,54499,2
11001,9,48649,5
11001,10,41703,5
11001,11,35707,4
11001,12,28683,3
11001,13,21127,4
11001,14,14645,5
11001,15,9304,0
11001,16,8806,2
11002,0,37771,0
11002,1,38861,0
11002,2,39600,0
11002,3,41647,2
11002,4,45687,6
11002,5,44593,3
11002,6,43559,6
11002,7,43741,11
11002,8,42389,9
11002,9,37778,3
11002,10,33499,0
11002,11,29523,4
11002,12,24677,1
11002,13,18389,5
11002,14,12613,1
11002,15,8331,2
11002,16,8771,0
11003,0,73727,0
11003,1,76631,0
11003,2,77245,0
11003,3,80154,7
11003,4,82495,17
11003,5,81768,14
11003,6,81207,14
11003,7,83630,13
11003,8,82754,12
11003,9,73855,6
11003,10,65926,6
11003,11,58641,7
11003,12,48584,7
11003,13,37000,0
11003,14,26290,2
11003,15,17244,0
11003,16,18410,0
11004,0,136591,0
11004,1,148280,0
11004,2,151013,2
11004,3,150573,14
11004,4,159295,24
11004,5,155339,19
11004,6,150742,20
11004,7,152696,14
11004,8,142718,20
11004,9,120575,8
11004,10,101798,4
11004,11,87842,4
11004,12,70244,5
11004,13,49807,4
11004,14,32258,1
11004,15,19485,1
11004,16,19065,1
11005,0,28999,0
11005,1,29706,0
11005,2,29979,1
11005,3,30910,4
11005,4,31692,4
11005,5,31790,5
11005,6,32182,7
11005,7,31868,6
11005,8,31152,4
11005,9,29051,1
11005,10,26508,1
11005,11,23278,7
11005,12,19173,3
11005,13,14518,3
11005,14,10224,2
11005,15,6760,0
11005,16,6954,0
11006,0,37121,0
11006,1,37507,0
11006,2,36859,0
11006,3,37879,4
11006,4,39683,7
11006,5,40063,4
11006,6,40897,4
11006,7,40889,5
11006,8,38539,10
11006,9,33982,6
11006,10,29875,3
11006,11,26031,1
11006,12,20976,0
11006,13,15297,1
11006,14,10612,0
11006,15,6948,0
11006,16,6992,4
11007,0,10396,0
11007,1,10850,0
11007,2,11000,0
11007,3,11196,2
11007,4,10669,1
11007,5,10329,2
11007,6,10269,1
11007,7,10068,2
11007,8,9555,1
11007,9,8811,3
11007,10,7558,1
11007,11,6715,1
11007,12,5349,1
11007,13,3753,0
11007,14,2485,0
11007,15,1605,1
11007,16,1617,0
12001,0,20141,0
12001,1,20273,0
12001,2,19696,2
12001,3,20614,2
12001,4,20281,3
12001,5,19255,2
12001,6,17404,3
12001,7,16036,1
12001,8,14976,2
12001,9,12960,2
12001,10,10890,0
12001,11,9095,2
12001,12,7211,0
12001,13,5410,0
12001,14,3820,0
12001,15,2501,0
12001,16,2658,0
12002,0,130829,0
12002,1,139787,0
12002,2,139890,2
12002,3,152326,21
12002,4,155307,20
12002,5,144808,34
12002,6,130944,29
12002,7,128533,30
12002,8,123207,26
12002,9,103441,18
12002,10,84148,5
12002,11,69304,11
12002,12,55250,7
12002,13,42310,5
12002,14,29822,3
12002,15,19156,2
12002,16,19637,0
12003,0,73430,0
12003,1,72860,0
12003,2,75691,1
12003,3,82154,11
12003,4,77279,13
12003,5,63861,16
12003,6,52751,12
12003,7,50154,8
12003,8,46909,2
12003,9,37290,6
12003,10,28175,5
12003,11,22025,2
12003,12,17569,1
12003,13,13170,1
12003,14,9751,2
12003,15,6959,0
12003,16,7831,0
13001,0,602303,0
13001,1,658610,0
13001,2,658104,12
13001,3,656489,70
13001,4,689122,90
13001,5,696185,71
13001,6,634462,71
13001,7,625763,54
13001,8,604199,43
13001,9,512805,28
13001,10,410209,19
13001,11,332568,17
13001,12,265987,14
13001,13,195895,6
13001,14,130732,7
13001,15,79887,1
13001,16,79637,4
13002,0,85793,0
13002,1,87867,0
13002,2,89468,1
13002,3,89963,7
13002,4,81308,13
13002,5,72212,7
13002,6,64090,4
13002,7,60082,0
13002,8,55226,4
13002,9,45601,6
13002,10,35021,1
13002,11,28628,1
13002,12,23358,0
13002,13,18062,0
13002,14,12279,0
13002,15,8093,0
13002,16,8933,0
13003,0,59962,0
13003,1,59482,0
13003,2,57606,0
13003,3,57925,4
13003,4,56361,4
13003,5,52946,8
13003,6,47989,5
13003,7,43011,3
13003,8,38199,4
13003,9,30751,0
13003,10,24511,1
13003,11,19848,1
13003,12,16357,0
13003,13,12684,1
13003,14,8826,2
13003,15,6006,0
13003,16,6603,0
13004,0,50424,0
13004,1,54392,0
13004,2,55862,3
13004,3,55620,2
13004,4,52301,3
13004,5,48117,2
13004,6,42952,4
13004,7,41506,3
13004,8,38999,6
13004,9,32769,0
13004,10,25558,2
13004,11,20700,0
13004,12,17657,0
13004,13,13645,1
13004,14,9090,0
13004,15,5935,1
13004,16,6039,0
13005,0,75793,0
13005,1,76469,1
13005,2,76262,4
13005,3,75893,17
13005,4,68846,24
13005,5,61186,13
13005,6,53400,5
13005,7,49639,4
13005,8,44781,5
13005,9,37084,7
13005,10,29155,4
13005,11,24459,1
13005,12,20775,1
13005,13,16641,2
13005,14,11702,0
13005,15,7784,1
13005,16,9943,0
13006,0,42321,0
13006,1,42265,0
13006,2,42747,0
13006,3,43807,4
13006,4,41936,3
13006,5,37821,4
13006,6,33365,4
13006,7,30821,2
13006,8,27954,0
13006,9,22363,4
13006,10,17734,1
13006,11,14790,0
13006,12,11747,0
13006,13,8775,0
13006,14,5949,0
13006,15,4003,0
13006,16,4413,0
13007,0,44074,0
13007,1,44954,0
13007,2,43845,4
13007,3,43704,8
13007,4,40117,9
13007,5,35521,11
13007,6,29930,5
13007,7,27257,7
13007,8,24227,4
13007,9,18756,2
13007,10,14131,1
13007,11,11637,1
13007,12,8973,2
13007,13,6621,0
13007,14,4582,0
13007,15,3286,0
13007,16,3749,0
13008,0,51188,0
13008,1,48010,0
13008,2,47030,2
13008,3,48231,6
13008,4,44488,7
13008,5,38404,9
13008,6,31917,2
13008,7,28819,7
13008,8,25322,4
13008,9,20147,1
13008,10,15232,1
13008,11,11817,0
13008,12,9278,0
13008,13,7027,0
13008,14,4842,0
13008,15,3354,0
13008,16,3855,0
13009,0,103563,0
13009,1,102562,0
13009,2,97896,17
13009,3,89744,42
13009,4,79659,36
13009,5,69211,20
13009,6,59092,16
13009,7,51896,7
13009,8,43684,8
13009,9,34886,5
13009,10,27489,3
13009,11,21871,2
13009,12,17192,2
13009,13,12703,0
13009,14,9077,0
13009,15,6542,1
13009,16,7982,1
14001,0,183266,0
14001,1,174245,0
14001,2,159643,11
14001,3,157105,26
14001,4,164294,30
14001,5,163377,24
14001,6,148827,14
14001,7,138125,19
14001,8,123711,12
14001,9,99651,2
14001,10,78867,11
14001,11,63931,5
14001,12,49583,5
14001,13,36044,4
14001,14,24421,3
14001,15,14613,2
14001,16,14120,2
14002,0,29278,0
14002,1,28256,0
14002,2,26837,1
14002,3,25671,1
14002,4,24365,3
14002,5,23433,1
14002,6,22256,2
14002,7,21995,7
14002,8,20063,1
14002,9,16338,2
14002,10,13569,0
14002,11,11850,0
14002,12,9665,0
14002,13,7279,1
14002,14,5113,0
14002,15,3034,0
14002,16,2642,0
15001,0,115854,0
15001,1,118892,0
15001,2,120334,5
15001,3,124881,15
15001,4,125240,26
15001,5,121886,21
15001,6,115056,15
15001,7,113895,14
15001,8,105673,18
15001,9,89516,7
15001,10,74262,3
15001,11,62986,4
15001,12,49227,7
15001,13,37322,5
15001,14,26040,2
15001,15,16473,2
15001,16,16170,3
15002,0,219883,0
15002,1,226319,0
15002,2,232949,5
15002,3,248977,29
15002,4,232588,34
15002,5,214166,23
15002,6,193924,17
15002,7,187569,24
15002,8,174248,15
15002,9,146313,15
15002,10,117564,11
15002,11,98130,8
15002,12,81014,9
15002,13,64208,5
15002,14,45775,6
15002,15,31419,5
15002,16,34505,5
15003,0,246483,0
15003,1,254182,0
15003,2,256389,4
15003,3,275062,22
15003,4,275027,38
15003,5,265417,22
15003,6,262167,24
15003,7,267227,26
15003,8,235182,18
15003,9,177434,11
15003,10,136152,7
15003,11,111965,9
15003,12,88982,5
15003,13,63291,6
15003,14,42722,5
15003,15,27094,6
15003,16,27435,5
15004,0,65633,0
15004,1,70670,0
15004,2,74636,3
15004,3,79907,3
15004,4,73822,12
15004,5,66493,1
15004,6,62732,5
15004,7,63219,6
15004,8,60058,6
15004,9,50242,2
15004,10,40892,8
15004,11,34824,3
15004,12,28766,2
15004,13,22562,2
15004,14,15703,3
15004,15,10100,1
15004,16,10302,0
15006,0,350137,0
15006,1,399321,0
15006,2,426914,4
15006,3,481249,31
15006,4,524690,36
15006,5,523170,30
15006,6,498245,28
15006,7,510843,34
15006,8,518682,30
15006,9,465984,13
15006,10,407629,19
15006,11,349070,12
15006,12,292467,14
15006,13,229288,7
15006,14,163883,8
15006,15,107522,1
15006,16,117050,9
15007,0,87884,0
15007,1,92544,0
15007,2,96753,1
15007,3,103493,7
15007,4,100541,8
15007,5,99066,13
15007,6,94280,4
15007,7,89740,3
15007,8,81952,4
15007,9,67844,2
15007,10,56101,0
15007,11,45278,3
15007,12,36187,2
15007,13,29196,2
15007,14,21579,1
15007,15,15016,0
15007,16,16513,0
15008,0,197290,0
15008,1,209727,0
15008,2,222511,2
15008,3,244736,14
15008,4,236763,14
15008,5,225609,19
15008,6,216779,19
15008,7,212987,19
15008,8,197536,10
15008,9,167051,9
15008,10,138172,12
15008,11,113817,6
15008,12,92095,7
15008,13,72298,5
15008,14,51963,8
15008,15,35343,2
15008,16,37889,2
15009,0,119699,0
15009,1,129121,0
15009,2,141363,4
15009,3,153621,7
15009,4,139733,12
15009,5,129953,6
15009,6,125454,14
15009,7,125586,8
15009,8,116635,8
15009,9,98800,3
15009,10,81188,8
15009,11,68619,4
15009,12,57345,0
15009,13,46170,0
15009,14,33278,1
15009,15,23073,0
15009,16,25383,0
15010,0,73416,0
15010,1,74325,0
15010,2,69977,3
15010,3,72707,13
15010,4,74368,14
15010,5,71163,12
15010,6,64423,7
15010,7,59969,8
15010,8,53000,4
15010,9,42701,5
15010,10,35568,2
15010,11,30306,3
15010,12,24754,3
15010,13,18650,1
15010,14,12467,1
15010,15,7624,0
15010,16,7035,0
15011,0,203529,0
15011,1,212169,1
15011,2,220976,7
15011,3,242185,12
15011,4,240997,22
