origin_region,destination_region,admissions
11005,11005,61.0
11005,11004,17.0
11001,11001,11.0
11001,11004,167.0
11001,11001,
11001,12002,
11001,51002,
11006,11004,
11006,11006,9.0
11002,11002,102.0
11002,11005,
11002,11004,113.0
11002,24007,
11002,35016,
11002,51002,6.0
11006,11006,
11006,11004,14.0
11006,11006,5.0
11006,11006,5.0
11006,11004,9.0
11006,11006,7.0
11006,11004,
11006,11006,
11007,11003,
11007,11004,
11007,11005,
11002,11002,
11002,11004,31.0
11004,11004,
11004,11004,58.0
11003,11003,32.0
11003,11003,11.0
11003,11003,
11003,11004,103.0
11003,41003,
11003,11003,294.0
11003,11004,43.0
11003,11005,
11003,41010,
11001,11001,
11001,11001,12.0
11001,11004,37.0
11005,11003,
11005,11005,17.0
11005,11004,15.0
11003,11003,
11003,11003,85.0
11003,11004,25.0
11003,31040,
11002,11002,
11002,11002,93.0
11002,11004,6.0
11002,11006,
11002,31016,
11002,50017,
11002,50015,
11004,11004,2073.0
11004,11005,
11004,11006,
11004,12002,19.0
11004,15001,
11004,17005,
11004,31075,
11004,35012,
11004,35016,
11003,11003,6.0
11003,11004,9.0
11003,11003,29.0
11001,11003,
11001,11004,5.0
11001,11001,
11005,11002,
11005,11005,
11005,11002,
11005,11004,72.0
11005,11005,131.0
11005,11004,35.0
11005,11005,
11006,11004,13.0
11006,11006,583.0
11003,11002,
11003,11003,
11003,11005,
11003,11004,27.0
11003,11005,
11003,11003,15.0
11004,11004,
11004,11004,39.0
11004,11001,
11004,51013,
11003,11002,
11003,11003,
11003,11004,7.0
11005,11002,
11005,11004,11.0
11005,11005,
11005,11005,5.0
11001,11004,17.0
11001,11006,
11001,11001,
11001,11004,46.0
11001,11001,36.0
11005,11004,41.0
11005,11005,
11005,31016,
11001,11004,7.0
11001,11004,
11001,11001,
11004,11003,
11004,11004,73.0
11004,35012,
11004,50015,
11004,52001,
11005,11004,
11006,11004,
11006,11006,12.0
11001,11004,19.0
11001,11001,13.0
11003,11003,
11003,11004,
11004,11004,17.0
11004,11004,
11002,11004,10.0
11003,11003,
11003,11003,
11003,11004,21.0
11001,11004,24.0
11001,11001,
11001,11001,
11001,52001,
11003,11002,
11003,11003,
11003,11004,6.0
11005,11005,
11005,11005,14.0
11006,11006,
11002,11002,
11002,11002,
11002,11004,
11002,11002,
11002,11004,
11002,11002,
11007,11002,
11007,11004,8.0
11007,11007,19.0
11007,11003,
11007,11004,19.0
11007,11007,
11003,11004,
11003,11003,
11003,11004,18.0
11003,11003,
11003,11004,
11003,11003,5.0
11003,11003,
11003,11004,7.0
11003,11003,
11003,11004,
12002,12002,
12002,12002,14.0
12002,15006,
12002,25001,
12001,12001,
12001,12002,9.0
12001,12001,5.0
12001,12003,
12001,12002,29.0
12002,12002,38.0
12002,12002,27.0
12003,12003,238.0
12003,12002,13.0
12001,12002,19.0
12003,12003,8.0
12003,12003,7.0
12003,12002,25.0
12002,12003,
12002,12002,
12003,12003,7.0
12003,12002,
12002,12002,24.0
12003,12003,14.0
12003,12003,8.0
12002,12003,
12002,12002,
12002,12002,22.0
12003,12003,9.0
12003,12003,
12002,11004,
12002,12003,
12002,12002,2608.0
12002,24007,
12002,33002,
12002,35016,
12002,51014,
12002,52001,
12002,53001,
12003,12003,9.0
12003,12002,
12003,12003,
12002,12002,58.0
12002,12002,71.0
12002,12002,18.0
12003,12003,9.0
12003,12002,36.0
12003,12003,42.0
12001,12002,24.0
12001,12001,14.0
12002,12002,31.0
12002,51008,
13008,13001,
13008,13008,
13002,13002,
13002,13001,
13002,13002,
13002,13001,
13003,11003,
13003,11004,
13009,12003,
13001,13001,11.0
13001,13001,14.0
13005,13005,21.0
13005,13005,17.0
13002,13002,
13002,13001,5.0
13005,13005,
13006,12002,27.0
13006,33005,
13002,13002,
13006,13001,
13007,13007,28.0
13007,13001,
13001,13001,
13001,13001,
13002,13002,90.0
13002,13002,
13007,13007,
13007,12002,10.0
13007,13007,
13007,12003,7.0
13003,11004,25.0
13003,13003,12.0
13003,13001,
13003,43013,
13007,12003,7.0
13007,12002,13.0
13007,13007,
13001,13001,
13001,13002,
13001,13001,12.0
13004,13004,
13004,13001,21.0
13004,14001,
13004,12002,
13004,13004,
13004,13001,
13009,13009,
13009,13001,
13006,11004,6.0
13006,13001,
13002,13002,160.0
13002,13001,12.0
13001,13001,
13001,13001,
13001,12003,
13001,13002,
13001,13001,1254.0
13001,15002,
13001,15006,
13001,31016,
13001,33005,
13001,35011,
13001,35072,
13001,35011,
13001,35016,5.0
13001,41002,
13001,51010,
13001,51013,
13001,52001,5.0
13001,53001,
13003,11004,
13003,13003,
13003,13001,
13003,13003,
13005,13001,
13005,13005,25.0
13005,13005,5.0
13001,13001,
13002,13001,
13005,13002,
13005,13001,
13005,13005,352.0
13006,12002,7.0
13001,13001,11.0
13001,13001,
13001,13001,12.0
13009,13009,5.0
13001,13001,
13001,13001,9.0
13009,13009,7.0
13004,13001,
13004,13004,
13009,13002,
13009,13001,
13006,13006,
13008,13001,
13008,13008,12.0
13008,13001,
13008,13008,
13004,13001,
13004,13005,
13004,43008,
14001,14001,
14001,14001,
14001,43017,
14001,13001,
14001,14001,491.0
14001,21016,
14001,29020,
14001,31016,
14001,35016,
14001,14001,16.0
14001,14001,8.0
14002,14001,6.0
14002,14001,
14002,14001,
14001,14001,
14001,14001,
14001,14001,
14001,14001,
14001,31016,
14002,13002,
14002,14001,12.0
14002,14002,9.0
14002,14001,5.0
14002,14002,
14001,14001,
15011,15011,
15011,15006,187.0
15007,15006,46.0
15013,16001,
15001,15001,32.0
15001,15006,
15001,15003,
15002,13001,
15002,15002,22.0
15002,15006,
15012,15012,
15012,15006,
15012,15010,
15014,15006,23.0
15006,15006,
15006,15006,1335.0
15006,15009,
15006,21016,
15006,42011,
15006,43010,
15012,15012,
15012,15006,
15012,31027,
15012,52002,
15009,15006,
15009,15009,150.0
15008,15008,
15008,15006,19.0
15014,15014,
15011,15006,20.0
15001,15001,14.0
15011,15006,219.0
15011,15003,
15006,13001,
15006,15006,3831.0
15006,15009,
15006,15003,
15006,17005,
15006,17007,
15006,23001,
15006,24007,
15006,29020,
15006,31016,
15006,33005,7.0
15006,35011,
15006,41002,
15006,42007,
15006,43012,
15006,51013,
15002,15002,
15006,15006,160.0
15006,15007,
15003,15006,
15003,15003,
15009,15009,31.0
15009,15006,12.0
15009,15009,738.0
15009,42007,
15012,15006,
15004,15006,31.0
15004,15003,
15004,21016,
15014,15006,29.0
15014,15014,14.0
15007,15006,26.0
15007,15009,
15009,15009,47.0
15013,15006,9.0
15011,15006,78.0
15011,15003,
15003,15003,72.0
15003,15003,
15003,15003,8.0
15003,15001,
15003,33001,
15009,15006,
15009,15009,220.0
15009,52002,
15008,15006,71.0
15008,15009,
15008,15008,
15008,15006,269.0
15008,15009,5.0
15008,15008,
15008,29002,
15008,31016,
15013,15006,
15007,15006,
15001,15006,5.0
15001,15003,
15001,15003,
15001,17006,
15007,15006,49.0
15001,15006,
15003,15006,
15003,15003,21.0
15003,15003,
15003,15003,
15014,15006,13.0
15008,15006,39.0
15003,15006,16.0
15003,15003,6.0
15003,21016,
15003,15006,
15003,15003,9.0
15003,15003,
15003,15003,5.0
15002,13005,
15001,15001,
15001,15001,
15001,17001,
15001,52002,
15008,15006,53.0
15004,15006,
15004,15003,
15014,15006,
15014,16001,
15008,15006,42.0
15008,15009,
15011,15006,73.0
15011,15009,
15011,15011,9.0
15008,15006,10.0
15008,15006,31.0
15008,15008,
15008,33005,
15008,15006,26.0
15008,15009,
15010,15010,
15010,15010,
15010,15010,
15010,35011,
15010,51002,
15010,51015,
15010,51013,
15003,15006,7.0
15003,15003,
15003,15003,12.0
15004,15006,8.0
15004,15004,
15004,15003,
15002,12002,
15002,13001,
15011,15006,
15008,15006,29.0
15008,15008,6.0
15008,15006,7.0
15003,15006,
15003,15003,
15003,15003,298.0
15003,15003,
15003,52014,
15008,15006,28.0
15008,15009,
15008,15006,13.0
15008,15008,
15006,13001,
15006,15006,233.0
15006,15006,
15006,52001,
15012,15006,
15012,15012,
15014,15006,
15011,15006,25.0
15011,15006,81.0
15002,13001,
15002,13005,
15002,15006,40.0
15002,15002,39.0
15013,15006,11.0
15013,15013,
15008,15006,47.0
15008,15009,
15003,15006,
15003,15003,
15003,15003,
15009,15006,
15009,15009,43.0
15010,15010,30.0
15010,51015,
15004,15006,27.0
15004,15003,
15004,15004,
15004,15003,
15004,31072,
