uf,legacy_iqr,corrected_iqr
AC,0.24429223744292228,0.2454337899543379
AL,0.22507610350076093,0.22193683409436835
AM,0.3706240487062404,0.36834094368340936
AP,0.2574200913242009,0.25114155251141557
BA,0.12547564687975646,0.12775875190258754
CE,0.1921613394216133,0.19444444444444453
DF,0.0,0.0
ES,0.13765220700152206,0.1385083713850838
GO,0.22716894977168944,0.2385844748858447
MA,0.1807458143074579,0.18017503805175028
MG,0.2743531202435313,0.27853881278538817
MS,0.25570776255707767,0.2671232876712329
MT,0.28377092846270924,0.2797754946727549
PA,0.1651445966514459,0.17199391171993922
PB,0.1757039573820398,0.17912861491628634
PE,0.2968987823439878,0.2966133942161339
PI,0.17066210045662097,0.16152968036529683
PR,0.1894977168949772,0.18350456621004568
RJ,0.2043378995433791,0.20776255707762564
RN,0.14592846270928453,0.1458333333333333
RO,0.28805175038051756,0.27207001522070023
RR,0.006659056316590528,0.0043759512937595335
RS,0.17551369863013694,0.17722602739726034
SC,0.2009132420091324,0.19748858447488576
SE,0.2711187214611872,0.2722602739726028
SP,0.27654109589041087,0.27711187214611865
TO,0.27207001522070007,0.27064307458143083
