source,url,access_date,filename,size,sha256,period,variables_used,status
DATASUS IBGE POPSVS,ftp://ftp.datasus.gov.br/dissemin/publicos/IBGE/POPSVS/POPSBR22.zip,2026-08-23,/Users/brenoherculano/Desktop/Brazil Mental Health Spatial Inequality Project/phase2_analysis/data_raw/population_popsvs/POPSBR22.zip,3378657,8619497c4adcb87133aab68666ed6604209b812047e9b51e3608db00a2c8e731,2022,"COD_MUN, ANO, SEXO, IDADE, POP",downloaded
DATASUS IBGE POPSVS,ftp://ftp.datasus.gov.br/dissemin/publicos/IBGE/POPSVS/POPSBR23.zip,2026-08-23,/Users/brenoherculano/Desktop/Brazil Mental Health Spatial Inequality Project/phase2_analysis/data_raw/population_popsvs/POPSBR23.zip,3360669,c49b35794dc235bad8a4a0dbc530a82aeae589e03a366a3c17a8325e6c24d5f4,2023,"COD_MUN, ANO, SEXO, IDADE, POP",downloaded
DATASUS IBGE POPSVS,ftp://ftp.datasus.gov.br/dissemin/publicos/IBGE/POPSVS/POPSBR24.zip,2026-08-23,/Users/brenoherculano/Desktop/Brazil Mental Health Spatial Inequality Project/phase2_analysis/data_raw/population_popsvs/POPSBR24.zip,3342323,cbf5549a5f9b37160e2fe3a5f97123a7747e371d4c433a8aa8a3276ad41dcc53,2024,"COD_MUN, ANO, SEXO, IDADE, POP",linked_from_paper1_cache
SIM/DATASUS DORES,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DORES/DOAC2022.dbc,2026-08-23,/Users/brenoherculano/Desktop/Brazil Mental Health Spatial Inequality Project/phase2_analysis/data_raw/sim_2022/DOAC2022.dbc,330408,04a015b690068baeb42e7e83165e3b9de43f2881bebdf46f0eea5ad0b9984a51,2022,"CODMUNRES, CAUSABAS, IDADE/IDADE_OBITO",downloaded
SIM/DATASUS DORES,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DORES/DOAL2022.dbc,2026-08-23,/Users/brenoherculano/Desktop/Brazil Mental Health Spatial Inequality Project/phase2_analysis/data_raw/sim_2022/DOAL2022.dbc,1846389,04a27f9a8b57378706463206dbd04c0a321229937f488ff8241795ddb8b96373,2022,"CODMUNRES, CAUSABAS, IDADE/IDADE_OBITO",downloaded
SIM/DATASUS DORES,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DORES/DOAM2022.dbc,2026-08-23,/Users/brenoherculano/Desktop/Brazil Mental Health Spatial Inequality Project/phase2_analysis/data_raw/sim_2022/DOAM2022.dbc,1626717,402aa8a2351b3cd7b181e169bee786d9b76d892961111eec80c531c461fd95d0,2022,"CODMUNRES, CAUSABAS, IDADE/IDADE_OBITO",downloaded
SIM/DATASUS DORES,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DORES/DOAP2022.dbc,2026-08-23,/Users/brenoherculano/Desktop/Brazil Mental Health Spatial Inequality Project/phase2_analysis/data_raw/sim_2022/DOAP2022.dbc,309913,46af11f2a5349d1d8e7e22493be680fe8f69084f9c94e40ec980294e5e4858c7,2022,"CODMUNRES, CAUSABAS, IDADE/IDADE_OBITO",downloaded
SIM/DATASUS DORES,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DORES/DOBA2022.dbc,2026-08-23,/Users/brenoherculano/Desktop/Brazil Mental Health Spatial Inequality Project/phase2_analysis/data_raw/sim_2022/DOBA2022.dbc,8510675,fd15f9bee578224d57d5d38a01870ea20d574a0095b00bbe673536b0a904ef8f,2022,"CODMUNRES, CAUSABAS, IDADE/IDADE_OBITO",downloaded
SIM/DATASUS DORES,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DORES/DOCE2022.dbc,2026-08-23,/Users/brenoherculano/Desktop/Brazil Mental Health Spatial Inequality Project/phase2_analysis/data_raw/sim_2022/DOCE2022.dbc,5218711,b32b4f636e1ec6b9d192b521ae8953ade00b56172f3fe6b0f4e2ee74115c49b5,2022,"CODMUNRES, CAUSABAS, IDADE/IDADE_OBITO",downloaded
SIM/DATASUS DORES,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DORES/DODF2022.dbc,2026-08-23,/Users/brenoherculano/Desktop/Brazil Mental Health Spatial Inequality Project/phase2_analysis/data_raw/sim_2022/DODF2022.dbc,1280969,dfbc68a7ea414a19181dccfb947b6f6baf3343d80ff30a06eb9595be9e074305,2022,"CODMUNRES, CAUSABAS, IDADE/IDADE_OBITO",downloaded
SIM/DATASUS DORES,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DORES/DOES2022.dbc,2026-08-23,/Users/brenoherculano/Desktop/Brazil Mental Health Spatial Inequality Project/phase2_analysis/data_raw/sim_2022/DOES2022.dbc,2250665,c6bbb70387e99609e2564d0069b960e03ca8fc4984c6c628010556f6de866fae,2022,"CODMUNRES, CAUSABAS, IDADE/IDADE_OBITO",downloaded
SIM/DATASUS DORES,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DORES/DOGO2022.dbc,2026-08-23,/Users/brenoherculano/Desktop/Brazil Mental Health Spatial Inequality Project/phase2_analysis/data_raw/sim_2022/DOGO2022.dbc,4405432,53c98dcfbd72fb467316c2711680bf02f44f1211d4889461bee6ec2489af4bbc,2022,"CODMUNRES, CAUSABAS, IDADE/IDADE_OBITO",downloaded
