source_system,dataset,period,uf,competence,official_url,final_url,retrieval_client,retrieved_at,original_filename,size_bytes,sha256,schema_fingerprint,local_path,notes,server_filename,source_last_modified,last_modified_basis,metadata_checked_at
DATASUS,CNES,2022-12,AC,2022-12,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAC2212.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAC2212.dbc,curl,2026-08-31T08:13:39.564291+00:00,LTAC2212.dbc,3609,58343c95ad021876a91c28ba363a1b5dd7d800cf8a97e7e5804967c0c1778a99,2dbad68aca97d056d814401ef29c4eb58396c61b322ed6d0b861f36d848ca665,data/raw/phase3/CNES/LTAC2212.dbc,Acquisition only; scientific gates evaluated separately.,LTAC2212.dbc,01-11-23  07:34AM,FTP LIST; server timezone unspecified,2026-08-31T08:49:18.748542+00:00
DATASUS,CNES,2023-12,AC,2023-12,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAC2312.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAC2312.dbc,curl,2026-08-31T08:13:39.803393+00:00,LTAC2312.dbc,3683,ba00575cfed1d3b5a87abc1893e200e2cbaca5c3396b4619362064e1852ba0ac,2dbad68aca97d056d814401ef29c4eb58396c61b322ed6d0b861f36d848ca665,data/raw/phase3/CNES/LTAC2312.dbc,Acquisition only; scientific gates evaluated separately.,LTAC2312.dbc,01-15-24  09:19AM,FTP LIST; server timezone unspecified,2026-08-31T08:49:18.748589+00:00
DATASUS,CNES,2022-12,AL,2022-12,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAL2212.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAL2212.dbc,curl,2026-08-31T08:13:40.292553+00:00,LTAL2212.dbc,8987,db6f4c33d7142d5740566618ce56532a7dbf7dab470435154c641164f46d8dd3,2dbad68aca97d056d814401ef29c4eb58396c61b322ed6d0b861f36d848ca665,data/raw/phase3/CNES/LTAL2212.dbc,Acquisition only; scientific gates evaluated separately.,LTAL2212.dbc,01-11-23  07:34AM,FTP LIST; server timezone unspecified,2026-08-31T08:49:18.748611+00:00
DATASUS,CNES,2023-12,AL,2023-12,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAL2312.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAL2312.dbc,curl,2026-08-31T08:13:40.295871+00:00,LTAL2312.dbc,9119,5f06d87a4fc4a740841809786470642a0735b0957ee2ce536053cb2516cf8f76,2dbad68aca97d056d814401ef29c4eb58396c61b322ed6d0b861f36d848ca665,data/raw/phase3/CNES/LTAL2312.dbc,Acquisition only; scientific gates evaluated separately.,LTAL2312.dbc,01-15-24  09:19AM,FTP LIST; server timezone unspecified,2026-08-31T08:49:18.748620+00:00
DATASUS,CNES,2022-12,AM,2022-12,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAM2212.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAM2212.dbc,curl,2026-08-31T08:13:40.483738+00:00,LTAM2212.dbc,9104,db23d2fc8c74301df73a87bba4740a8458bdf5e8492d5b17ee1903065b399c56,2dbad68aca97d056d814401ef29c4eb58396c61b322ed6d0b861f36d848ca665,data/raw/phase3/CNES/LTAM2212.dbc,Acquisition only; scientific gates evaluated separately.,LTAM2212.dbc,01-11-23  07:34AM,FTP LIST; server timezone unspecified,2026-08-31T08:49:18.748630+00:00
DATASUS,CNES,2023-12,AM,2023-12,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAM2312.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAM2312.dbc,curl,2026-08-31T08:13:40.523059+00:00,LTAM2312.dbc,9159,345380d156f0719249289bd09534c3bf1dee58229ca08d69bfcf5e1f0d0a0539,2dbad68aca97d056d814401ef29c4eb58396c61b322ed6d0b861f36d848ca665,data/raw/phase3/CNES/LTAM2312.dbc,Acquisition only; scientific gates evaluated separately.,LTAM2312.dbc,01-15-24  09:19AM,FTP LIST; server timezone unspecified,2026-08-31T08:49:18.748634+00:00
DATASUS,CNES,2022-12,AP,2022-12,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAP2212.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAP2212.dbc,curl,2026-08-31T08:13:40.948140+00:00,LTAP2212.dbc,2404,1ebc3edfb84ae16b8a917d4278225717d9a9fadb5534e9c48d943feee84a057f,2dbad68aca97d056d814401ef29c4eb58396c61b322ed6d0b861f36d848ca665,data/raw/phase3/CNES/LTAP2212.dbc,Acquisition only; scientific gates evaluated separately.,LTAP2212.dbc,01-11-23  07:34AM,FTP LIST; server timezone unspecified,2026-08-31T08:49:18.748644+00:00
DATASUS,CNES,2023-12,AP,2023-12,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAP2312.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTAP2312.dbc,curl,2026-08-31T08:13:40.992147+00:00,LTAP2312.dbc,2456,bbbd14c1cd9ace5d9f7a043c5c15f6e3286e1b423867d9227d26598f08419ee3,2dbad68aca97d056d814401ef29c4eb58396c61b322ed6d0b861f36d848ca665,data/raw/phase3/CNES/LTAP2312.dbc,Acquisition only; scientific gates evaluated separately.,LTAP2312.dbc,01-15-24  09:19AM,FTP LIST; server timezone unspecified,2026-08-31T08:49:18.748649+00:00
DATASUS,CNES,2022-12,BA,2022-12,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTBA2212.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTBA2212.dbc,curl,2026-08-31T08:13:41.251062+00:00,LTBA2212.dbc,47104,2d33cd0ccf865792c2c21216dd4950ce8089bf2f9661f7ea0fb49d5141b0ea5e,2dbad68aca97d056d814401ef29c4eb58396c61b322ed6d0b861f36d848ca665,data/raw/phase3/CNES/LTBA2212.dbc,Acquisition only; scientific gates evaluated separately.,LTBA2212.dbc,01-11-23  07:34AM,FTP LIST; server timezone unspecified,2026-08-31T08:49:18.748656+00:00
DATASUS,CNES,2023-12,BA,2023-12,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTBA2312.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/LT/LTBA2312.dbc,curl,2026-08-31T08:13:41.309564+00:00,LTBA2312.dbc,48089,d852908d7a9fe0f27466e8f824f01051b6974492331db29c6af14256ba2b5130,2dbad68aca97d056d814401ef29c4eb58396c61b322ed6d0b861f36d848ca665,data/raw/phase3/CNES/LTBA2312.dbc,Acquisition only; scientific gates evaluated separately.,LTBA2312.dbc,01-15-24  09:19AM,FTP LIST; server timezone unspecified,2026-08-31T08:49:18.748664+00:00
