financing_version,siops_snapshot_id,year,health_region_code,municipalities_expected,municipalities_observed,population_expected,population_covered,coverage_share,coverage_population_share,total_health_expenditure_brl,health_expenditure_per_capita_brl,headline_available,quality_flags,source_period,source_indicator
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,11001,9,9,236265,236265,1,1,275084680.92000002,1164.3099999999999,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,11002,6,6,182736,182736,1,1,174851198.96000001,956.85000000000002,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,11003,14,14,355910,355910,1,1,386530472.70999998,1086.03,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,11004,5,5,611702,611702,1,1,528661491.87,864.25,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,11005,8,8,138605,138605,1,1,173906549.47999999,1254.6900000000001,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,11006,7,7,165248,165248,1,1,235637040.06999999,1425.96,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,11007,3,3,44182,44182,1,1,51643654.270000003,1168.8800000000001,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,12001,4,4,73592,73592,1,1,57725838.460000001,784.39999999999998,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,12002,11,11,554642,554642,1,1,367734522.85000002,663.00999999999999,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,12003,7,7,244332,244332,1,1,148892423.22999999,609.38999999999999,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,13001,12,12,2584129,2584129,1,1,1860856331.9100001,720.11000000000001,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,13002,8,8,287176,287176,1,1,311131770.13999999,1083.4200000000001,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,13003,5,5,197695,197695,1,1,189485879.80000001,958.48000000000002,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,13004,6,6,188053,188053,1,1,180008715.40000001,957.22000000000003,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,13005,5,5,245236,245236,1,1,236123301.86000001,962.84000000000003,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,13006,5,5,142764,142764,1,1,129778392.48999999,909.03999999999996,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,13007,6,6,134422,134422,1,1,139878077.00999999,1040.5899999999999,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,13008,6,6,145054,145054,1,1,183173349.87,1262.79,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,13009,9,9,275262,275262,1,1,282450519.14999998,1026.1199999999999,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,14001,9,9,578267,578267,1,1,505945680.55000001,874.92999999999995,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2022,14002,6,6,95137,95137,1,1,111561161.25,1172.6400000000001,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
