flow_version,health_region_code,total_admissions,within_region_share,outflow_share,cross_state_outflow_share,nonsuppressed_destinations,unit
MDB_HOSPITAL_FLOW_METHOD_1.0,11001,417,0.19664268585131894,0.80335731414868106,0.016786570743405275,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,11002,389,0.53727506426735216,0.46272493573264784,0.030848329048843187,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,11003,790,0.63670886075949362,0.36329113924050632,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,11004,2299,0.98434101783384076,0.015658982166159199,0.013049151805132666,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,11005,438,0.54109589041095896,0.4589041095890411,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,11006,672,0.93601190476190477,0.063988095238095233,0,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,11007,55,0.38181818181818183,0.61818181818181817,0,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,12001,102,0.19607843137254902,0.80392156862745101,0,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,12002,2939,0.99319496427356246,0.0068050357264375638,0.0051037767948281729,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,12003,431,0.82366589327146167,0.17633410672853828,0,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,13001,1364,0.97873900293255134,0.021260997067448679,0.017595307917888565,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,13002,276,0.92391304347826086,0.076086956521739135,0,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,13003,56,0.30357142857142855,0.6964285714285714,0.625,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,13004,42,0.14285714285714285,0.8571428571428571,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,13005,426,0.98826291079812212,0.011737089201877934,0,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,13006,51,,,0.82352941176470584,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,13007,75,0.47999999999999998,0.52000000000000002,0.49333333333333335,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,13008,21,,,0,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,13009,18,,,,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,14001,539,0.98330241187384049,0.016697588126159554,0.016697588126159554,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,14002,38,0.26315789473684209,0.73684210526315785,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,15001,856,0.88317757009345799,0.11682242990654206,0.038551401869158876,6,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,15002,189,0.52380952380952384,0.47619047619047616,0.079365079365079361,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,15003,1610,0.96832298136645967,0.031677018633540374,0.0099378881987577643,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,15004,98,0.051020408163265307,0.94897959183673475,0.061224489795918366,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,15006,5641,0.99344087927672398,0.0065591207232760145,0.0047863853926608758,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,15007,470,0.034042553191489362,0.96595744680851059,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,15008,1102,0.061705989110707807,0.93829401088929221,0.010889292196007259,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,15009,1705,0.98533724340175954,0.01466275659824047,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,15010,60,0.84999999999999998,0.14999999999999999,0.11666666666666667,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,15011,775,0.012903225806451613,0.98709677419354835,0.0077419354838709677,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,15012,154,0.74025974025974028,0.25974025974025972,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,15013,69,,,,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,15014,119,0.34453781512605042,0.65546218487394958,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,16001,198,0.96464646464646464,0.035353535353535352,0.035353535353535352,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,16002,72,0.86111111111111116,0.1388888888888889,0,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,16003,36,0,1,,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,17001,716,0.9483240223463687,0.051675977653631286,0.030726256983240222,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,17002,153,0.30718954248366015,0.69281045751633985,0.071895424836601302,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,17003,89,0.056179775280898875,0.9438202247191011,0.12359550561797752,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,17004,149,0.22818791946308725,0.77181208053691275,0.040268456375838924,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,17005,457,0.92341356673960617,0.076586433260393869,0.030634573304157548,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,17006,1184,0.97128378378378377,0.028716216216216218,0.01266891891891892,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,17007,256,0.80859375,0.19140625,0.03515625,3,AIHs/admissions; not unique patients
