origin_region,destination_region,admissions,flow_version,contribution_id
11005,11005,61,MDB_HOSPITAL_FLOW_METHOD_1.0,0
11005,11004,17,MDB_HOSPITAL_FLOW_METHOD_1.0,1
11001,11001,11,MDB_HOSPITAL_FLOW_METHOD_1.0,2
11001,11004,167,MDB_HOSPITAL_FLOW_METHOD_1.0,3
11006,11006,9,MDB_HOSPITAL_FLOW_METHOD_1.0,8
11002,11002,102,MDB_HOSPITAL_FLOW_METHOD_1.0,9
11002,11004,113,MDB_HOSPITAL_FLOW_METHOD_1.0,11
11002,51002,6,MDB_HOSPITAL_FLOW_METHOD_1.0,14
11006,11004,14,MDB_HOSPITAL_FLOW_METHOD_1.0,16
11006,11006,5,MDB_HOSPITAL_FLOW_METHOD_1.0,17
11006,11006,5,MDB_HOSPITAL_FLOW_METHOD_1.0,18
11006,11004,9,MDB_HOSPITAL_FLOW_METHOD_1.0,19
11006,11006,7,MDB_HOSPITAL_FLOW_METHOD_1.0,20
11002,11004,31,MDB_HOSPITAL_FLOW_METHOD_1.0,27
11004,11004,58,MDB_HOSPITAL_FLOW_METHOD_1.0,29
11003,11003,32,MDB_HOSPITAL_FLOW_METHOD_1.0,30
11003,11003,11,MDB_HOSPITAL_FLOW_METHOD_1.0,31
11003,11004,103,MDB_HOSPITAL_FLOW_METHOD_1.0,33
11003,11003,294,MDB_HOSPITAL_FLOW_METHOD_1.0,35
11003,11004,43,MDB_HOSPITAL_FLOW_METHOD_1.0,36
11001,11001,12,MDB_HOSPITAL_FLOW_METHOD_1.0,40
11001,11004,37,MDB_HOSPITAL_FLOW_METHOD_1.0,41
11005,11005,17,MDB_HOSPITAL_FLOW_METHOD_1.0,43
11005,11004,15,MDB_HOSPITAL_FLOW_METHOD_1.0,44
11003,11003,85,MDB_HOSPITAL_FLOW_METHOD_1.0,46
11003,11004,25,MDB_HOSPITAL_FLOW_METHOD_1.0,47
11002,11002,93,MDB_HOSPITAL_FLOW_METHOD_1.0,50
11002,11004,6,MDB_HOSPITAL_FLOW_METHOD_1.0,51
11004,11004,2073,MDB_HOSPITAL_FLOW_METHOD_1.0,56
11004,12002,19,MDB_HOSPITAL_FLOW_METHOD_1.0,59
11003,11003,6,MDB_HOSPITAL_FLOW_METHOD_1.0,65
11003,11004,9,MDB_HOSPITAL_FLOW_METHOD_1.0,66
11003,11003,29,MDB_HOSPITAL_FLOW_METHOD_1.0,67
11001,11004,5,MDB_HOSPITAL_FLOW_METHOD_1.0,69
11005,11004,72,MDB_HOSPITAL_FLOW_METHOD_1.0,74
11005,11005,131,MDB_HOSPITAL_FLOW_METHOD_1.0,75
11005,11004,35,MDB_HOSPITAL_FLOW_METHOD_1.0,76
11006,11004,13,MDB_HOSPITAL_FLOW_METHOD_1.0,78
11006,11006,583,MDB_HOSPITAL_FLOW_METHOD_1.0,79
11003,11004,27,MDB_HOSPITAL_FLOW_METHOD_1.0,83
11003,11003,15,MDB_HOSPITAL_FLOW_METHOD_1.0,85
11004,11004,39,MDB_HOSPITAL_FLOW_METHOD_1.0,87
11003,11004,7,MDB_HOSPITAL_FLOW_METHOD_1.0,92
11005,11004,11,MDB_HOSPITAL_FLOW_METHOD_1.0,94
11005,11005,5,MDB_HOSPITAL_FLOW_METHOD_1.0,96
11001,11004,17,MDB_HOSPITAL_FLOW_METHOD_1.0,97
11001,11004,46,MDB_HOSPITAL_FLOW_METHOD_1.0,100
11001,11001,36,MDB_HOSPITAL_FLOW_METHOD_1.0,101
11005,11004,41,MDB_HOSPITAL_FLOW_METHOD_1.0,102
11001,11004,7,MDB_HOSPITAL_FLOW_METHOD_1.0,105
11004,11004,73,MDB_HOSPITAL_FLOW_METHOD_1.0,109
11006,11006,12,MDB_HOSPITAL_FLOW_METHOD_1.0,115
11001,11004,19,MDB_HOSPITAL_FLOW_METHOD_1.0,116
11001,11001,13,MDB_HOSPITAL_FLOW_METHOD_1.0,117
11004,11004,17,MDB_HOSPITAL_FLOW_METHOD_1.0,120
11002,11004,10,MDB_HOSPITAL_FLOW_METHOD_1.0,122
11003,11004,21,MDB_HOSPITAL_FLOW_METHOD_1.0,125
11001,11004,24,MDB_HOSPITAL_FLOW_METHOD_1.0,126
11003,11004,6,MDB_HOSPITAL_FLOW_METHOD_1.0,132
11005,11005,14,MDB_HOSPITAL_FLOW_METHOD_1.0,134
11007,11004,8,MDB_HOSPITAL_FLOW_METHOD_1.0,143
11007,11007,19,MDB_HOSPITAL_FLOW_METHOD_1.0,144
11007,11004,19,MDB_HOSPITAL_FLOW_METHOD_1.0,146
11003,11004,18,MDB_HOSPITAL_FLOW_METHOD_1.0,150
11003,11003,5,MDB_HOSPITAL_FLOW_METHOD_1.0,153
11003,11004,7,MDB_HOSPITAL_FLOW_METHOD_1.0,155
12002,12002,14,MDB_HOSPITAL_FLOW_METHOD_1.0,159
12001,12002,9,MDB_HOSPITAL_FLOW_METHOD_1.0,163
12001,12001,5,MDB_HOSPITAL_FLOW_METHOD_1.0,164
12001,12002,29,MDB_HOSPITAL_FLOW_METHOD_1.0,166
12002,12002,38,MDB_HOSPITAL_FLOW_METHOD_1.0,167
12002,12002,27,MDB_HOSPITAL_FLOW_METHOD_1.0,168
12003,12003,238,MDB_HOSPITAL_FLOW_METHOD_1.0,169
12003,12002,13,MDB_HOSPITAL_FLOW_METHOD_1.0,170
12001,12002,19,MDB_HOSPITAL_FLOW_METHOD_1.0,171
12003,12003,8,MDB_HOSPITAL_FLOW_METHOD_1.0,172
12003,12003,7,MDB_HOSPITAL_FLOW_METHOD_1.0,173
12003,12002,25,MDB_HOSPITAL_FLOW_METHOD_1.0,174
12003,12003,7,MDB_HOSPITAL_FLOW_METHOD_1.0,177
12002,12002,24,MDB_HOSPITAL_FLOW_METHOD_1.0,179
12003,12003,14,MDB_HOSPITAL_FLOW_METHOD_1.0,180
12003,12003,8,MDB_HOSPITAL_FLOW_METHOD_1.0,181
12002,12002,22,MDB_HOSPITAL_FLOW_METHOD_1.0,184
12003,12003,9,MDB_HOSPITAL_FLOW_METHOD_1.0,185
12002,12002,2608,MDB_HOSPITAL_FLOW_METHOD_1.0,189
12003,12003,9,MDB_HOSPITAL_FLOW_METHOD_1.0,196
12002,12002,58,MDB_HOSPITAL_FLOW_METHOD_1.0,199
12002,12002,71,MDB_HOSPITAL_FLOW_METHOD_1.0,200
12002,12002,18,MDB_HOSPITAL_FLOW_METHOD_1.0,201
12003,12003,9,MDB_HOSPITAL_FLOW_METHOD_1.0,202
12003,12002,36,MDB_HOSPITAL_FLOW_METHOD_1.0,203
12003,12003,42,MDB_HOSPITAL_FLOW_METHOD_1.0,204
12001,12002,24,MDB_HOSPITAL_FLOW_METHOD_1.0,205
