municipality_code_ibge,municipality_name,uf,health_region_code,health_region_name
1100015,Alta Floresta D'Oeste,RO,11005,Zona da Mata
1100023,Ariquemes,RO,11001,Vale do Jamari
1100031,Cabixi,RO,11006,Cone Sul
1100049,Cacoal,RO,11002,Café
1100056,Cerejeiras,RO,11006,Cone Sul
1100064,Colorado do Oeste,RO,11006,Cone Sul
1100072,Corumbiara,RO,11006,Cone Sul
1100080,Costa Marques,RO,11007,Vale do Guaporé
1100098,Espigão D'Oeste,RO,11002,Café
1100106,Guajará-Mirim,RO,11004,Madeira-Mamoré
1100114,Jaru,RO,11003,Central
1100122,Ji-Paraná,RO,11003,Central
1100130,Machadinho D'Oeste,RO,11001,Vale do Jamari
1100148,Nova Brasilândia D'Oeste,RO,11005,Zona da Mata
1100155,Ouro Preto do Oeste,RO,11003,Central
1100189,Pimenta Bueno,RO,11002,Café
1100205,Porto Velho,RO,11004,Madeira-Mamoré
1100254,Presidente Médici,RO,11003,Central
1100262,Rio Crespo,RO,11001,Vale do Jamari
1100288,Rolim de Moura,RO,11005,Zona da Mata
1100296,Santa Luzia D'Oeste,RO,11005,Zona da Mata
1100304,Vilhena,RO,11006,Cone Sul
1100320,São Miguel do Guaporé,RO,11003,Central
1100338,Nova Mamoré,RO,11004,Madeira-Mamoré
1100346,Alvorada D'Oeste,RO,11003,Central
1100379,Alto Alegre dos Parecis,RO,11005,Zona da Mata
1100403,Alto Paraíso,RO,11001,Vale do Jamari
1100452,Buritis,RO,11001,Vale do Jamari
1100502,Novo Horizonte do Oeste,RO,11005,Zona da Mata
1100601,Cacaulândia,RO,11001,Vale do Jamari
1100700,Campo Novo de Rondônia,RO,11001,Vale do Jamari
1100809,Candeias do Jamari,RO,11004,Madeira-Mamoré
1100908,Castanheiras,RO,11005,Zona da Mata
1100924,Chupinguaia,RO,11006,Cone Sul
1100940,Cujubim,RO,11001,Vale do Jamari
1101005,Governador Jorge Teixeira,RO,11003,Central
1101104,Itapuã do Oeste,RO,11004,Madeira-Mamoré
1101203,Ministro Andreazza,RO,11002,Café
1101302,Mirante da Serra,RO,11003,Central
1101401,Monte Negro,RO,11001,Vale do Jamari
1101435,Nova União,RO,11003,Central
1101450,Parecis,RO,11005,Zona da Mata
